epoch,accuracy,loss,val_accuracy,val_loss
0,0.3603653609752655,1.3328100442886353,0.3890489935874939,1.2896671295166016
1,0.6357597708702087,1.005861520767212,0.651296854019165,0.9284014701843262
2,0.7979518175125122,0.5922163724899292,0.6772334575653076,0.7913509011268616
3,0.8427899479866028,0.4285416007041931,0.7031700015068054,0.7885936498641968
4,0.8757265210151672,0.3380507826805115,0.6916426420211792,0.8298633694648743
5,0.9000830054283142,0.275767982006073,0.7031700015068054,0.8923138380050659
6,0.9166897535324097,0.2288072258234024,0.6916426420211792,0.965313732624054
7,0.9363409876823425,0.19563236832618713,0.6945244669914246,1.0091326236724854
8,0.947135329246521,0.16356489062309265,0.6772334575653076,1.0865744352340698
9,0.9562690258026123,0.1412288397550583,0.680115282535553,1.1673388481140137
10,0.9612510204315186,0.12844328582286835,0.680115282535553,1.1992202997207642
11,0.9665098190307617,0.11497638374567032,0.6628242135047913,1.2083592414855957
12,0.972045361995697,0.10258954018354416,0.680115282535553,1.2944200038909912
13,0.973429262638092,0.09005071222782135,0.6685879230499268,1.3266029357910156
14,0.9723221659660339,0.090385302901268,0.6743515729904175,1.3896342515945435
15,0.9725989699363708,0.08726660162210464,0.6628242135047913,1.4889419078826904
16,0.972875714302063,0.08112727105617523,0.651296854019165,1.4634106159210205
17,0.9731525182723999,0.07671747356653214,0.6657060384750366,1.5458507537841797
18,0.9761970639228821,0.0761355385184288,0.6628242135047913,1.5439414978027344
19,0.9748131632804871,0.07438474893569946,0.6570605039596558,1.559597373008728
20,0.9753667116165161,0.06952247768640518,0.6599423885345459,1.602104663848877
21,0.9789648652076721,0.06229564547538757,0.6628242135047913,1.6095073223114014
22,0.9753667116165161,0.06652657687664032,0.651296854019165,1.6518999338150024
23,0.9761970639228821,0.06170876324176788,0.6570605039596558,1.685149908065796
24,0.9778577089309692,0.06000087782740593,0.6628242135047913,1.7431422472000122
